pathway,source,interactiontype,target
Adherens junction,BAIAP2*WASF2*WASF3*WASF1,activation,ACTB*ACTG1
Adherens junction,YES1,activation$phosphorylation,FER
Adherens junction,CDH5,binding/association,CDH5
Adherens junction,CDH5,binding/association,CTNNB1
Adherens junction,MET,inhibition$phosphorylation,CTNND1
...
Viral protein interaction with cytokine and cytokine receptor,CXCL1*CXCL2*CXCL3*CXCL8*CXCL6*CXCL5,activation,CXCR1
Viral protein interaction with cytokine and cytokine receptor,TNF,activation,TNFRSF1A
Viral protein interaction with cytokine and cytokine receptor,CXCL1*CXCL2*CXCL3*CXCL8*PPBP*CXCL6*CXCL5,activation,CXCR2
Viral protein interaction with cytokine and cytokine receptor,IL37*IL18,activation,IL18RAP*IL18R1
