GeneSymbol,17-002,17-003,17-004
7a5,0.518781087,,
a1bg,0.364542413,,
a1cf,0.580718245,,
a26c3,0.396578664,,
a2bp1,0.738255732,,
a2ld1,0.787164304,,
a2m,0.674135975,,
a2ml1,0.692522815,,
a3galt2,0.648881148,,
a4galt,0.646272739,,
a4gnt,0.338483889,,
aaa1,0.472766733,,
aaas,0.65244763,,
aacs,0.675946622,,
aacsl,0.754080035,,
aadac,0.619516259,,
aadacl1,0.871909296,,
aadacl2,0.684929126,,
aadacl3,0.423037824,,
…,…,,
wfdc1,0.646344898,,
wfdc10a,0.568593728,,
wfdc10b,0.639179907,,
wfdc11,0.612588223,,
wfdc12,0.401089438,,
wfdc13,0.494305068,,
wfdc2,0.717067516,,
wfdc3,0.570239008,,
wfdc5,0.629585423,,
wfdc6,0.524347318,,
wfdc8,0.439585564,,
wfdc9,0.625785097,,
wfikkn1,0.585666733,,
wfikkn2,0.653228724,,
wfs1,0.644755876,,
whamm,0.274261618,,
whamml1,0.709509041,,
whdc1l1,0.322523839,,
whdc1l2,0.550179826,,
whsc1,0.463906638,,
whsc1l1,0.557859587,,
whsc2,0.366330391,,
wibg,0.408780339,,
wif1,0.725784325,,
wipf1,0.262333278,,
wipf2,0.499815695,,
wipf3,0.240667217,,
wipi1,0.467012319,,
wipi2,0.550046265,,
wisp1,0.601362743,,
wisp2,0.482148361,,
wisp3,0.768175726,,
wit-1,0.739741148,,
wit1,0.725807921,,
wiz,0.589661925,,
wnk1,0.820969865,,
wnk2,0.620397993,,
wnk3,0.362247884,,
wnk4,0.632544623,,
wnt1,0.635088899,,
wnt10a,0.37660046,,
wnt10b,0.627694597,,
wnt11,0.621800437,,
wnt16,0.585460062,,
wnt2,0.707016657,,
wnt2b,0.36278773,,
wnt3,0.685798156,,
wnt3a,0.624965639,,
wnt4,0.429910722,,
wnt5a,0.684459056,,
wnt5b,0.673097343,,
wnt6,0.699094434,,
wnt7a,0.061016179,,
wnt7b,0.399717694,,
wnt8a,0.60748011,,
wnt8b,0.698460587,,
wnt9a,0.644553282,,
wnt9b,0.57807326,,
wrb,0.613990635,,
wrn,0.159434833,,
wrnip1,0.310691651,,
wsb1,0.768705482,,
wsb2,0.754299258,,
wscd1,0.62736017,,
wscd2,0.708556272,,
wt1,0.587355216,,
wtap,0.192784245,,
wtip,0.467009587,,
wwc1,0.654646679,,
wwc2,0.640051719,,
wwc3,0.787071467,,
wwox,0.502824214,,
wwp1,0.378841208,,
wwp2,0.874329534,,
wwtr1,0.643897963,,
xab2,0.714900288,,
xaf1,0.823080345,,
xage-4,0.533990846,,
xage1,0.356404859,,
xage1a,0.664923537,,
xage1b,0.41950581,,
xage1c,0.538751651,,
xage1d,0.734337235,,
xage1e,0.625895056,,
xage2,0.506247777,,
xage2b,0.656602317,,
xage3,0.612445285,,
xage5,0.656610474,,
xbp1,0.752973804,,
xcl1,0.626791587,,
xcl2,0.555382351,,
xcr1,0.936996213,,
xdh,0.486671373,,
xg,0.640124768,,
xgpy2,0.513309447,,
xiap,0.496845493,,
xirp1,0.667017823,,
xirp2,0.541970166,,
xist,0.199572248,,
xk,0.699641234,,
xkr3,0.641562517,,
xkr4,0.457760976,,
xkr5,0.375076368,,
xkr6,0.102896119,,
xkr7,0.633620909,,
xkr8,0.351812468,,
xkr9,0.669172952,,
xkrx,0.599330638,,
xkry,0.563822061,,
xkry2,0.557984308,,
xlkd1,0.652577715,,
xpa,0.648278529,,
xpc,0.005825817,,
xpnpep1,0.40891826,,
xpnpep2,0.555513071,,
xpnpep3,0.902747004,,
xpo1,0.397787637,,
xpo4,0.065394714,,
xpo5,0.850451732,,
xpo6,0.213556332,,
xpo7,0.18446526,,
xpot,0.307626843,,
xpr1,0.521113836,,
xrcc1,0.798303397,,
xrcc2,0.887395392,,
xrcc3,0.411204828,,
xrcc4,0.678440877,,
xrcc5,0.805911406,,
xrcc6,0.347033648,,
xrcc6bp1,0.046644088,,
xrn1,0.15300002,,
xrn2,0.193022426,,
xrra1,0.413114092,,
xylb,0.489590224,,
xylt1,0.910103674,,
xylt2,0.142240703,,
yaf2,0.021413144,,
yap1,0.699132524,,
yars,0.76220681,,
yars2,0.292676173,,
ybx1,0.930045149,,
ybx2,0.570997452,,
ydd19,0.50113081,,
ydjc,0.509240849,,
yeats2,0.471072556,,
yeats4,0.857286364,,
yes1,0.114908285,,
yif1a,0.886800564,,
yif1b,0.651604883,,
yipf1,0.908567651,,
yipf2,0.617214927,,
yipf3,0.711325481,,
yipf4,0.575907985,,
yipf5,0.634326193,,
yipf6,0.824569081,,
yipf7,0.455962522,,
yjefn3,0.595809958,,
ykt6,0.47004264,,
ylpm1,0.549670609,,
yme1l1,0.35386168,,
yod1,0.610782179,,
ypel1,0.796519419,,
ypel2,0.898606636,,
ypel3,0.911882784,,
ypel4,0.601988889,,
ypel5,0.38026609,,
yrdc,0.907152104,,
ysk4,0.342344994,,
ythdc1,0.131606741,,
ythdc2,0.261840824,,
ythdf1,0.846816926,,
ythdf2,0.15623377,,
ythdf3,0.146118906,,
ywhab,0.694743059,,
ywhae,0.50579379,,
ywhag,0.868005493,,
ywhah,0.622757625,,
ywhaq,0.902655012,,
ywhaz,0.633373548,,
yy1,0.705022518,,
yy1ap1,0.848021313,,
yy2,0.578024166,,
zacn,0.602805531,,
