Pathway,% Disconnected,Largest CC Size,Avg Path Len,# Nodes,# Genes,Avg # Src Genes,Avg # Tgt Genes,Largest Src Comp,Largest Tgt Comp
Adherens junction,4.20%,89,,95,90,1.65,1.45,4,8
African trypanosomiasis,69.20%,4,0.94,13,26,1.62,1.62,4,4
AGE-RAGE signaling pathway in diabetic complications,0.00%,93,,93,99,2.2,1.84,10,10
Alcoholic liver disease,4.20%,92,,96,140,1.89,1.95,7,13
Alcoholism,8.90%,41,6,45,180,3.24,4.91,21,50
Aldosterone-regulated sodium reabsorption,5.00%,19,5.6,20,35,1.3,2.2,7,9
Allograft rejection,100.00%,1,0,7,28,1.43,3.71,2,20
Aminoacyl-tRNA biosynthesis,53.80%,4,0.58,26,44,1.42,0.81,3,3
Amoebiasis,38.50%,2,0.74,13,46,2.69,2.31,7,7
Amphetamine addiction,15.70%,27,3.85,51,71,2.51,2.94,10,10
AMPK signaling pathway,14.30%,54,6.49,63,111,3.17,2.24,7,7
Antifolate resistance,50.00%,4,0.6,8,15,1.62,1.38,3,2
Apelin signaling pathway,0.00%,72,7.97,76,144,4.05,2.75,20,20
Apoptosis - multiple species,5.00%,11,1.48,20,28,1.8,1.5,4,4
Arachidonic acid metabolism,0.90%,222,,224,61,2.24,2.53,22,22
Arrhythmogenic right ventricular cardiomyopathy,23.50%,7,,17,29,1.35,1.88,6,6
Asthma,100.00%,1,0,3,6,1,2.33,1,3
Autoimmune thyroid disease,100.00%,1,0,7,9,1.14,1,2,1
Autophagy - other,21.10%,8,2.65,19,25,1.79,1.89,4,4
Axon guidance,3.60%,126,,139,176,2.11,2.16,8,8
Bacterial invasion of epithelial cells,11.80%,21,6.36,34,54,2,2.76,11,11
Bile secretion,0.00%,12,3.53,18,39,2.33,1.78,9,9
Carbohydrate digestion and absorption,0.00%,5,3.16,9,23,2.33,2.22,7,7
Cardiac muscle contraction,5.30%,16,,19,22,1.42,1.84,4,5
Cell adhesion molecules,31.40%,36,,140,145,1.75,1.6,24,24
Central carbon metabolism in cancer,15.80%,17,3.97,38,66,1.63,2.26,13,7
cGMP-PKG signaling pathway,2.70%,68,9.9,73,173,2.47,2.45,9,10
Chagas disease,9.80%,42,,61,102,1.84,1.77,8,8
Choline metabolism in cancer,14.60%,27,5.29,41,86,2.2,2.51,7,11
Cholinergic synapse,0.00%,33,,45,103,3.82,4.42,21,21
Cocaine addiction,9.80%,37,5.87,41,47,1.95,1.78,10,10
Collecting duct acid secretion,33.30%,2,,6,4,1,1,1,1
C-type lectin receptor signaling pathway,0.00%,145,,156,115,1.78,1.54,7,7
Cytokine-cytokine receptor interaction,100.00%,1,0,251,265,1.25,1.53,13,3
Diabetic cardiomyopathy,14.10%,50,,71,118,1.58,2.04,7,8
Dilated cardiomyopathy,7.10%,10,4.66,28,93,2.29,2.96,20,20
Drug metabolism - cytochrome P450,0.00%,55,,59,73,3.2,2.8,22,19
Drug metabolism - other enzymes,0.00%,51,,66,81,1.82,2.45,19,20
ECM-receptor interaction,94.40%,4,0.04,71,90,5.55,1.93,17,4
EGFR tyrosine kinase inhibitor resistance,0.00%,121,9.15,121,84,1.53,1.81,7,7
Endocrine resistance,8.10%,67,,86,99,1.95,2.34,9,9
Endocytosis,50.00%,7,1.07,24,97,3.04,2.42,12,6
Epithelial cell signaling in Helicobacter pylori infection,16.70%,20,4.5,24,39,1.62,1.58,4,3
Fanconi anemia pathway,9.10%,20,,22,40,2.95,1.36,15,4
Fat digestion and absorption,60.00%,2,0.5,5,12,1.8,1.8,3,3
Fc epsilon RI signaling pathway,9.80%,37,5.45,41,64,2.1,2.2,7,7
Fluid shear stress and atherosclerosis,1.00%,92,3.94,96,146,1.79,2.25,7,20
FoxO signaling pathway,1.30%,76,,79,130,2.66,2.41,7,7
GABAergic synapse,5.30%,11,3.57,19,71,10.05,6.95,21,21
Gap junction,0.00%,49,,49,92,2.12,2.63,9,13
Gastric acid secretion,0.00%,14,4.77,25,64,2.16,2.92,9,9
Glucagon signaling pathway,6.10%,46,,49,97,3.45,2.57,12,12
Graft-versus-host disease,100.00%,1,0,4,22,2.5,3.5,6,11
Hippo signaling pathway,3.30%,55,,61,157,4.16,1.89,19,10
Hippo signaling pathway - multiple species,11.50%,23,3.59,26,29,1.65,2.27,3,4
Homologous recombination,25.00%,12,1,16,16,1,1,1,1
Hypertrophic cardiomyopathy,16.70%,10,2.1,18,39,1.5,2.06,7,6
IL-17 signaling pathway,0.00%,134,,134,91,2.53,1.57,13,13
Inflammatory bowel disease,1.90%,53,,54,48,1.22,1.24,3,2
Inflammatory mediator regulation of TRP channels,18.80%,65,5.25,80,131,2.14,1.82,9,9
Insulin resistance,2.50%,116,,119,104,1.73,1.75,8,8
Insulin secretion,13.20%,33,5.65,38,67,1.92,2.08,10,10
Insulin signaling pathway,14.70%,64,7.39,75,141,2.39,2.15,12,12
Intestinal immune network for IgA production,100.00%,1,0,19,28,1.11,1.05,2,2
Kaposi sarcoma-associated herpesvirus infection,2.90%,46,,103,172,2.34,1.85,17,13
Legionellosis,16.00%,11,1.26,25,40,1.08,1.4,2,5
Leishmaniasis,0.00%,34,4.14,44,78,1.91,1.89,5,14
Leukocyte transendothelial migration,6.50%,53,10.4,62,110,2.52,2.56,26,26
Linoleic acid metabolism,0.00%,41,,41,30,1.9,6.32,22,22
Lipid and atherosclerosis,1.10%,168,,180,217,1.87,1.88,11,14
Longevity regulating pathway,0.00%,54,,54,88,2.24,2.5,9,9
M NAmino sugar and nucleotide sugar metabolism,1.10%,91,,95,44,1.41,1.42,4,4
M NArginine and proline metabolism,13.50%,77,,89,50,1.42,1.19,5,5
M NArginine biosynthesis,7.00%,40,2.31,43,23,1.21,1.21,3,3
M NCitrate cycle (TCA cycle),0.00%,80,,80,30,1.01,1.6,4,4
M NCysteine and methionine metabolism,3.80%,98,,104,52,1.25,1.46,3,5
M NFatty acid degradation,0.00%,133,,135,41,2.01,2.08,7,7
M NFolate biosynthesis,1.50%,57,,65,27,1.49,1.32,4,4
M NGalactose metabolism,10.90%,57,,64,29,1.59,1.14,4,4
