PATHWAY_URI	DISPLAY_NAME	DIRECT_SUB_PATHWAY_URIS	ALL_SUB_PATHWAY_URIS
http://bioregistry.io/reactome:R-HSA-209822	Glycoprotein hormones		
http://bioregistry.io/reactome:R-HSA-209776	Metabolism of amine-derived hormones	http://bioregistry.io/reactome:R-HSA-209931;http://bioregistry.io/reactome:R-HSA-209968;http://bioregistry.io/reactome:R-HSA-209905;	http://bioregistry.io/reactome:R-HSA-209931;http://bioregistry.io/reactome:R-HSA-350864;http://bioregistry.io/reactome:R-HSA-209968;http://bioregistry.io/reactome:R-HSA-209905;
http://bioregistry.io/reactome:R-HSA-209543	p75NTR recruits signalling complexes		
http://bioregistry.io/reactome:R-HSA-209560	NF-kB is activated and signals survival		
http://bioregistry.io/reactome:R-HSA-209563	Axonal growth stimulation		
http://bioregistry.io/reactome:R-HSA-209905	Catecholamine biosynthesis		
http://bioregistry.io/reactome:R-HSA-209931	Serotonin and melatonin biosynthesis		
http://bioregistry.io/reactome:R-HSA-209952	Peptide hormone biosynthesis	http://bioregistry.io/reactome:R-HSA-209822;	http://bioregistry.io/reactome:R-HSA-209822;
http://bioregistry.io/reactome:R-HSA-209968	Thyroxine biosynthesis	http://bioregistry.io/reactome:R-HSA-350864;	http://bioregistry.io/reactome:R-HSA-350864;
inoh:id718127366_Signaling_without_Hh	Signaling without Hh ( Hedgehog signaling pathway )		inoh:id9556299_Ci_Gli_processing_signaling;
inoh:id372580934_ERK_cascade	ERK cascade ( GPCR signaling (G alpha q) )		
inoh:id2002315251_Wnt_secretory_pathway__Canonical_	Wnt secretory pathway (Canonical) ( Drosophila Wingless/Wnt signaling pathway Diagram )		
inoh:id851954496_p38_cascade	p38 cascade ( IL-1 signaling pathway (through p38 cascade) )		
biofactoid:bb7a4f35-4dd7-4779-b16c-d4daf078ed59	Rab5a activates IRS1 to coordinate IGF-AKT-mTOR signaling and myoblast differentiation during muscle regeneration.		
http://bioregistry.io/reactome:R-HSA-9031628	NGF-stimulated transcription		
http://bioregistry.io/reactome:R-HSA-9031525	LXRs regulate gene expression to limit cholesterol uptake		
http://bioregistry.io/reactome:R-HSA-9031528	LXRs regulate gene expression linked to triglyceride lipolysis in adipose		
netpath:Pathway_TWEAK	TWEAK		
biofactoid:42645529-a2ad-4bf0-be2f-ea7f766f7492	Lack of bombesin receptor-activated protein attenuates bleomycin-induced pulmonary fibrosis in mice.		
