pathway,source,interactiontype,target
Adherens junction,BAIAP2*WASF2*WASF3*WASF1,activation,ACTB*ACTG1
Adherens junction,YES1,activation$phosphorylation,FER
Adherens junction,CDH5,binding/association,CDH5
Adherens junction,CDH5,binding/association,CTNNB1
Adherens junction,MET,inhibition$phosphorylation,CTNND1
Adherens junction,CTNNB1,binding/association,CCM2
Adherens junction,HEG1,binding/association,KRIT1
Adherens junction,KRIT1,binding/association,CCM2
Adherens junction,EGFR*ERBB2,inhibition$phosphorylation,CTNND1
Adherens junction,CCM2,binding/association,PDCD10
Adherens junction,IGF1R,inhibition$phosphorylation,CTNNB1
Adherens junction,CCM2,binding/association,SMURF1*SMURF2
Adherens junction,MET,inhibition$phosphorylation,CTNNB1
Adherens junction,KRIT1,binding/association,RAP1A*RAP1B
Adherens junction,EGFR*ERBB2,inhibition$phosphorylation,CTNNB1
Adherens junction,RAP1A*RAP1B,binding/association,RADIL*RASIP1
Adherens junction,FER,inhibition$phosphorylation,CTNNB1
Adherens junction,RASIP1,binding/association,RADIL*RASIP1
Adherens junction,FYN,inhibition$phosphorylation,CTNNB1
Adherens junction,ARHGAP29,binding/association,RASIP1
Adherens junction,SRC,inhibition$phosphorylation,CTNNB1
Adherens junction,SMURF1*SMURF2,inhibition$ubiquitination,RHOA
Adherens junction,FER,inhibition$phosphorylation,CTNND1
Adherens junction,ARHGAP29,inhibition,RHOA
Adherens junction,FYN,inhibition$phosphorylation,CTNND1
Adherens junction,RHOA,activation,ROCK1*ROCK2
Adherens junction,YES1,inhibition$phosphorylation,CTNND1
Adherens junction,ROCK1*ROCK2,activation$phosphorylation,MYL12B*MYL9*MYL12A*MYLPF*MYL2*MYL5*MYL7*MYL10
Adherens junction,ACP1,activation$dephosphorylation,CTNNB1
Adherens junction,PTPRM,activation$dephosphorylation,CTNNB1
Adherens junction,PTPRB,activation$dephosphorylation,CTNNB1
Adherens junction,PTPRF,activation$dephosphorylation,CTNNB1
Adherens junction,PTPRM,activation$dephosphorylation,CTNND1
Adherens junction,PTPN1,activation$dephosphorylation,CTNNB1
Adherens junction,PTPN6,activation$dephosphorylation,CTNND1
Adherens junction,PTPRJ,activation$dephosphorylation,CTNND1
Adherens junction,NECTIN3*NECTIN1*NECTIN2*NECTIN4,binding/association,NECTIN3*NECTIN1*NECTIN2*NECTIN4
Adherens junction,AFDN,binding/association,NECTIN3*NECTIN1*NECTIN2*NECTIN4
Adherens junction,LMO7,binding/association,AFDN
Adherens junction,SSX2IP,binding/association,AFDN
Adherens junction,SORBS1,binding/association,AFDN
Adherens junction,ACTN4*ACTN1,binding/association,LMO7
Adherens junction,ACTN4*ACTN1,binding/association,SSX2IP
Adherens junction,VCL,binding/association,SORBS1
Adherens junction,CTNNA1*CTNNA2*CTNNA3,binding/association,ACTN4*ACTN1
Adherens junction,ACTB*ACTG1,binding/association,ACTN4*ACTN1
Adherens junction,CTNNA1*CTNNA2*CTNNA3,binding/association,VCL
Adherens junction,ACTB*ACTG1,binding/association,VCL
Adherens junction,ACTB*ACTG1,binding/association,TJP1
Adherens junction,CDH1,binding/association,CDH1
Adherens junction,CDH1,binding/association,CTNNB1
Adherens junction,CTNNA1*CTNNA2*CTNNA3,binding/association,CTNNB1
Adherens junction,ACTB*ACTG1,binding/association,CTNNA1*CTNNA2*CTNNA3
Adherens junction,SRC,activation$phosphorylation,FARP2
Adherens junction,CSNK2A1*CSNK2A2*CSNK2B*CSNK2A3,activation$phosphorylation,CTNNB1
Adherens junction,FARP2,activation,CDC42
Adherens junction,CDC42,activation,WASL
Adherens junction,CDC42,activation,WAS
Adherens junction,CDC42,activation,IQGAP1
Adherens junction,AFDN,activation,ACTB*ACTG1
Adherens junction,RHOA,activation,ACTB*ACTG1
Adherens junction,RAC1*RAC2*RAC3,activation,IQGAP1
Adherens junction,RAC1*RAC2*RAC3,activation,BAIAP2*WASF2*WASF3*WASF1
Adherens junction,LEF1*TCF7*TCF7L2*TCF7L1,binding/association,CTNNB1
Adherens junction,CTNNB1,activation,CTNNB1
Adherens junction,IQGAP1,inhibition,CTNNB1
Adherens junction,CDH1,dissociation,CDH1
Adherens junction,CDH1,dissociation,CTNNB1
Adherens junction,CTNNA1*CTNNA2*CTNNA3,dissociation,CTNNB1
Adherens junction,CTNNA1*CTNNA2*CTNNA3,dissociation,ACTB*ACTG1
Adherens junction,CTNND1,inhibition,RHOA
Adherens junction,CTNNA1*CTNNA2*CTNNA3,binding/association,ACTN4*ACTN1
Adherens junction,CTNNA1*CTNNA2*CTNNA3,binding/association,VCL
Adherens junction,CTNNA1*CTNNA2*CTNNA3,binding/association,TJP1
Adherens junction,CTNNA1*CTNNA2*CTNNA3,binding/association,AFDN
Adherens junction,ACTB*ACTG1,binding/association,ACTN4*ACTN1
Adherens junction,ACTB*ACTG1,binding/association,VCL
Adherens junction,ACTB*ACTG1,binding/association,TJP1
Adherens junction,ACTB*ACTG1,binding/association,AFDN
Adherens junction,NECTIN3*NECTIN1*NECTIN2*NECTIN4,activation,PARD3
Adherens junction,SRC,indirect effect,RAC1*RAC2*RAC3
Adherens junction,CDC42,indirect effect,RAC1*RAC2*RAC3
