corridors,edges
4,22
1,9
3,26
3,21
4,49
1,27
0,0
1,19
4,14
2,49
3,36
1,6
3,59
3,26
3,26
3,15
0,0
0,0
2,17
1,49
2,27
2,25
5,23
2,18
1,23
3,17
6,29
2,39
1,30
1,29
1,35
2,119
4,29
2,39
2,2
0,0
4,30
2,31
6,67
1,18
1,3
2,36
1,34
3,16
1,20
1,13
1,3
2,37
3,36
2,46
1,195
4,48
2,38
4,29
0,0
1,21
3,25
1,11
2,19
3,21
1,19
6,31
1,44
2,34
2,42
0,0
4,35
2,15
3,27
3,42
1,141
3,28
4,25
3,45
6,22
2,21
1,25
3,23
3,20
3,35
4,18
2,29
5,82
1,16
5,31
2,27
1,15
5,19
3,25
1,15
2,15
3,88
1,22
1,19
1,66
2,17
3,15
3,19
3,15
6,37
5,23
4,26
1,28
3,15
7,53
3,24
5,20
4,15
9,18
7,19
0,0
1,1
1,68
1,15
3,24
1,15
3,23
1,18
1,2
3,48
5,17
1,107
2,45
2,27
5,35
1,58
3,35
1,16
5,27
1,1
2,19
3,42
1,65
1,4
1,54
0,0
1,24
3,43
4,27
1,13
3,19
7,23
1,3
1,48
2,15
1,29
1,13
2,14
0,0
1,26
1,19
1,44
2,19
2,31
2,71
2,52
2,19
2,99
1,26
3,30
1,37
1,22
1,54
3,25
2,28
3,79
1,45
3,26
4,61
1,41
2,37
2,116
4,20
1,37
2,16
2,34
3,16
2,17
2,39
1,41
6,18
2,62
4,21
1,23
2,36
0,0
2,34
3,48
2,26
0,0
5,33
4,43
2,25
3,13
4,51
1,35
3,39
1,48
2,27
3,40
2,33
2,37
1,34
4,27
1,44
2,37
2,30
3,28
3,31
1,21
4,27
0,0
2,29
3,90
1,46
1,58
2,15
3,46
3,34
9,15
2,29
2,24
4,15
4,23
2,28
1,44
4,26
5,38
4,22
3,19
7,26
4,26
4,25
1,9
1,59
2,39
3,22
3,39
1,17
6,43
3,30
2,30
2,15
3,16
3,36
1,31
2,36
1,28
5,39
4,23
1,36
1,28
2,47
1,40
1,29
4,21
8,34
1,22
1,27
2,56
6,29
1,851
4,20
2,20
1,49
1,32
4,16
3,31
1,18
2,41
4,61
5,35
0,0
2,29
1,21
4,23
1,45
3,38
0,0
3,29
0,0
7,20
2,44
1,57
3,26
4,51
1,113
0,0
0,0
3,39
1,24
2,73
3,27
1,1
4,36
1,26
1,2
1,21
1,10
1,38
1,20
3,20
1,24
0,0
2,18
0,0
2,47
4,42
1,38
1,18
0,0
2,6
4,14
0,0
